n;r;a;i;T_init;alfa;alfa_period;stop;#iter;init_time;init_score;time;best;slack
30;25.00;1;1;30;0.95;236;23600;23600;0.002031210984569043;3870.672709473948;1483.2726173580159;2963.7698325954775;0
30;25.00;1;2;30;0.95;236;23600;712;0.0020400770008563995;3622.450171572512;29.962005538051017;3436.7775458660985;0
30;25.00;1;3;30;0.95;236;23600;23600;0.002306815003976226;4677.2803507313265;1760.3886353180278;3237.288205585628;0
30;50.00;0;0;30;0.95;236;23600;3;0.002395364979747683;2476.530129578136;5.615894479968119;2426.464900900987;1033.4380078471945
30;50.00;0;1;30;0.95;236;23600;15;0.001897816953714937;2589.1704715557134;5.749962628004141;2538.6038608653316;610.8704288271451
30;50.00;0;2;30;0.95;236;23600;23600;0.00187204300891608;1254.9812038805323;1728.2437961079995;1052.2579551757685;0
30;50.00;0;3;30;0.95;236;23600;8;0.00198043801356107;2020.02904354492;5.686135550029576;2019.3522626595923;283.7504550307009
30;50.00;1;0;30;0.95;236;23600;23600;0.0025542479706928134;2041.2441760019642;1601.7626132859732;1660.9494277326723;0
30;50.00;1;1;30;0.95;236;23600;23600;0.001979773980565369;2391.3434605306784;1614.1431405959884;1732.7400503243202;0
30;50.00;1;2;30;0.95;236;23600;23600;0.001989379001315683;2190.1075884007114;1381.2638462100294;1778.185594081504;0
30;50.00;1;3;30;0.95;236;23600;6413;0.0017741439514793456;2080.9707526139323;308.90429078397574;1703.089983976919;0
30;100.00;0;0;30;0.95;236;23600;23600;0.002747328020632267;1482.4871368091854;1591.5051201939932;747.0084757462239;0
30;100.00;0;1;30;0.95;236;23600;23600;0.0022220939863473177;1262.403775209108;1628.785673146951;904.5747840513384;0
30;100.00;0;2;30;0.95;236;23600;23600;0.002086685039103031;929.2649726139509;2140.4386381679797;779.6218866990455;0
30;100.00;0;3;30;0.95;236;23600;23600;0.0018965440103784204;1160.8403569411905;1481.9902887169737;865.1199545570504;0
30;100.00;1;0;30;0.95;236;23600;23600;0.00255163898691535;1118.0282914665418;2110.2395600039745;836.812512850682;0
30;100.00;1;1;30;0.95;236;23600;23600;0.002110494999215007;1419.8431306168468;1890.4126747120172;976.3991204835178;0
30;100.00;1;2;30;0.95;236;23600;23600;0.002308688999619335;1085.1446208887173;1861.0653687139857;754.5550095328545;0
30;100.00;1;3;30;0.95;236;23600;23600;0.001856836024671793;902.6755665315089;1690.7152175170486;695.5179980440304;0
30;200.00;0;0;30;0.95;236;23600;23600;0.004735306021757424;549.8728572040242;2059.61341250001;497.5546779199151;0
30;200.00;0;1;30;0.95;236;23600;23600;0.0021817779634147882;513.9376317007807;1826.5826320779743;486.2958775804274;0
30;200.00;0;2;30;0.95;236;23600;23600;0.0025627959985285997;552.8444208936829;1685.779341335001;509.3201158879382;0
30;200.00;0;3;30;0.95;236;23600;23600;0.002176574955228716;604.6094815441788;2378.1574603110203;538.6776209000022;0
30;200.00;1;0;30;0.95;236;23600;23600;0.00329944200348109;623.8388643506038;2631.227128188999;468.24671588752017;0
